Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-01-17 11:25:48,false,"New York Running","8.41","1,081","01:27:40","137","149","4.2","164","171","10:25","5:53","584","673","0.97","9.0","8.6","281","10:04","335","0.0","322","608","--","--","--","14,354","--","--","-23","No","01:27:40","1","--","--","--","01:27:37","01:28:13","-19","352"
Running,2026-01-16 12:42:49,false,"New York - Fartlek 100","3.65","476","00:34:45","150","173","3.8","160","194","9:30","4:49","446","545","0.99","8.7","8.4","274","9:26","365","0.0","325","830","--","--","--","5,820","--","--","-10","No","00:00:26.4","23","--","--","--","00:34:36","00:34:45","-185","95"
Strength Training,2026-01-14 18:55:29,false,"Strength","0.00","223","00:34:45","98","145","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","230","115","6","-4","No","00:34:45","1","--","--","--","00:26:51","00:34:45","--","--"
Strength Training,2026-01-12 18:40:31,false,"Strength","0.00","333","00:48:19","104","151","2.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","282","141","7","-6","No","00:48:19","1","--","--","--","00:33:57","00:48:19","--","--"
Running,2026-01-10 12:06:26,false,"New York Running","8.40","1,081","01:27:32","135","149","4.0","163","171","10:25","5:28","584","528","0.96","9.1","8.6","282","10:09","324","0.0","315","553","--","--","--","14,274","--","--","-20","No","01:27:32","1","--","--","--","01:27:22","01:28:12","-104","136"
Resort Skiing,2026-01-07 10:01:31,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","18.66","672","03:33:06","74","117","0.3","--","--","9.6","45.4","15,823","15,771","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-18","No","00:04:10","22","--","--","--","02:42:13","05:46:09","5,019","7,654"
Resort Skiing,2026-01-06 10:16:25,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","20.39","917","04:08:35","79","133","0.9","--","--","8.8","47.5","18,402","18,114","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-18","No","00:04:50","21","--","--","--","03:10:53","05:17:28","5,012","8,009"
Resort Skiing,2026-01-05 10:15:43,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","19.59","936","04:13:09","79","147","1.3","--","--","8.5","43.7","18,068","18,005","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-20","No","00:01:09.9","20","--","--","--","03:13:48","05:28:34","5,039","7,579"
Resort Skiing,2026-01-04 10:23:32,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","20.95","1,000","04:30:56","80","144","1.2","--","--","7.3","46.6","18,005","17,434","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-16","No","00:00:06.1","19","--","--","--","03:07:59","05:53:13","4,931","7,910"
Resort Skiing,2026-01-03 10:45:22,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","10.27","637","03:08:35","77","145","0.7","--","--","4.9","41.6","10,043","8,156","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-14","No","00:04:50.6","13","--","--","--","01:52:52","04:24:05","5,129","7,891"
